tid,views,replies
203529,334,8
203721,150,2
203722,280,1
203724,105,2
203725,298,4
203726,272,3
203728,1067,20
203731,386,3
203732,1042,20
203733,344,23
203736,1356,17
203737,582,26
203738,7632,8
203740,248,1
203741,362,5
203749,567,3
203757,1189,8
203759,142,2
203755,7478,50
203764,102,1
203770,580,8
203778,713,40
203779,119,3
203781,198,10
203783,825,3
203788,118,6
203791,765,2
203792,686,11
203794,105,4
203797,279,12
203800,305,2
203810,695,1
203816,206,3
203818,417,3
203820,324,2
203826,1885,8
203831,246,15
203835,246,1
203845,1339,10
203849,489,6
203853,525,38
203854,113,1
203857,255,16
203859,373,7
203861,222,3
203862,312,13
203863,200,5
203865,215,2
203867,347,2
203868,414,2
203869,183,2
203871,419,12
282168,582,1
203875,527,3
203888,443,4
203889,371,5
203892,1545,4
203893,217,1
203894,1180,8
203896,620,6
203898,177,4
203901,715,2
203910,658,8
203913,557,10
203916,546,26
203917,486,9
203902,4466,11
203920,135,2
203921,363,1
203908,1278,67
203923,127,2
203924,204,1
203930,260,1
203939,207,3
203941,231,1
203943,262,1
203947,188,1
203951,277,8
203956,712,2
203962,628,1
203967,304,5
203983,237,1
203985,664,3
203989,101,4
203990,175,3
203994,563,8
203996,794,9
203997,540,16
203998,10619,31
204005,274,11
204010,348,5
204012,359,19
204013,253,3
204014,261,18
204019,1549,6
204022,390,4
204028,169,1
204029,473,18
204030,248,9
204041,286,4
204046,187,17
204047,102,1
204048,572,10
204049,410,17
204050,317,3
204051,453,1
204052,182,1
204054,180,1
204056,2963,69
204057,215,1
204060,1208,84
204064,389,6
204070,714,73
204073,125,3
204083,224,2
204084,384,5
204085,117,2
204087,240,1
204090,197,4
204092,217,1
204093,388,2
204095,123,4
204101,118,4
204109,1426,17
204114,416,8
204117,152,2
204129,502,8
204131,288,18
204132,2980,90
204133,102,2
204140,281,3
204142,669,4
204152,509,3
204171,103,4
282169,590,1
204175,5120,39
204177,554,9
204184,407,6
204185,212,7
204186,1020,8
204187,618,22
204188,216,4
204193,1248,1
204194,464,7
204199,170,5
204201,106,1
204202,6257,12
204203,294,5
204208,488,1
204217,670,3
204227,306,4
204230,404,7
282170,645,1
204246,915,13
204249,370,1
204250,575,35
204251,1508,41
204254,366,12
282171,973,4
204258,857,16
204259,117,4
204263,193,7
204266,254,5
204268,116,1
204272,178,2
204274,122,4
204276,236,3
204277,174,3
204279,901,10
204280,706,44
204281,220,6
204282,816,1
204284,1088,1
204285,1028,7
204286,928,1
204289,574,4
204292,553,12
204293,245,8
204294,524,25
204295,572,8
204296,384,8
204297,1665,5
204298,216,3
204299,448,2
204300,253,3
204301,218,1
204302,104,2
204303,556,2
204304,320,24
204305,886,16
204306,137,1
204307,128,2
204308,286,16
204309,110,1
204313,298,2
204314,216,1
204317,292,7
204318,257,2
